# Shared fixture for keys.awk and keys.ps1. One case per line:
#   <mode><TAB><command><TAB><expected keys>
# The mode is bash or pwsh. In the command, \n is a newline and \t a tab. The
# expected keys are the extractor's output lines, each written <segment>:<entry>
# and joined with " | ", or "-" for no output. Read by gate-test.sh and
# gate-test.ps1, so a case added here is checked against both extractors.
#
# Plain commands: the first word, then the subcommand candidates, then the task
# names below each key, which only a PROJECT class reads.
bash	cp x.{txt,md} y	1:cp | 1:+cp y
# Single-quoted text is skipped when looking for substitutions: a commit
# message's Markdown backticks are not commands.
bash	git commit -m 'Use `foo` here'	1:git | 1:git commit | 1:git commit ? | 1:+git commit
# A substitution inside double quotes is read (R8).
bash	grep "$(gh issue comment 1 --body 'x')" log.txt	1:grep | 1:grep ? | 1:+grep ? | 1:+grep log.txt | 2:gh | 2:gh issue | 2:gh issue comment | 2:+gh issue | 2:+gh comment | 2:+gh x | 2:+gh issue comment | 2:+gh issue x | 2:+gh issue comment x
bash	printf '%s' "$(printf x; hg commit -m 'y')"	1:printf | 1:+printf ? | 2:printf | 2:printf x | 2:+printf x | 3:hg | 3:hg commit | 3:hg commit y | 3:+hg commit | 3:+hg y | 3:+hg commit y
bash	echo "$(git log -1 --format=%s $(git rev-parse HEAD))"	1:echo | 1:echo ? | 1:+echo ? | 2:git | 2:git log | 2:git log ? | 2:+git log | 2:+git ? | 2:+git log ? | 3:git | 3:git rev-parse | 3:git rev-parse HEAD | 3:+git rev-parse | 3:+git HEAD | 3:+git rev-parse HEAD
bash	echo `date`	1:echo | 1:echo ? | 1:+echo ? | 2:date
bash	echo "`hg commit -m x`"	1:echo | 1:echo ? | 1:+echo ? | 2:hg | 2:hg commit | 2:hg commit x | 2:+hg commit | 2:+hg x | 2:+hg commit x
# Pass 1 reads a substitution as the one word "$", so the words after it stay
# with the command around it, and pass 2 reads a process substitution's body.
bash	git diff $(git merge-base a b) HEAD	1:git | 1:git diff | 1:git diff ? | 1:+git diff | 1:+git ? | 1:+git HEAD | 1:+git diff ? | 1:+git diff HEAD | 2:git | 2:git merge-base | 2:git merge-base a | 2:+git merge-base | 2:+git a | 2:+git b | 2:+git merge-base a | 2:+git merge-base b | 2:+git merge-base a b
bash	diff <(gh pr view 1) x	1:diff | 1:diff ? | 1:+diff ? | 1:+diff x | 2:gh | 2:gh pr | 2:gh pr view | 2:+gh pr | 2:+gh view | 2:+gh pr view
bash	tee >(hg commit -m x) < f	1:tee | 1:tee ? | 1:+tee ? | 2:hg | 2:hg commit | 2:hg commit x | 2:+hg commit | 2:+hg x | 2:+hg commit x
bash	echo $(( $(wc -l < f) + 1 )) done	1:echo | 1:echo ? | 1:+echo ? | 1:+echo done | 2:wc
# Quotes nested inside a substitution inside quotes are misread, toward the reader.
bash	echo "$(git commit -m "a; b")"	1:echo | 2:READ | 3:git | 3:git commit | 3:git commit ? | 3:+git commit
# Heredocs: the body is dropped in both passes.
bash	cat <<'EOF'\nhg commit -m "it's"\nEOF	1:cat
bash	cat <<EOF\nplain text, it's fine\nEOF\nls	1:cat | 2:ls
bash	cat <<-EOF\n\tbody\n\tEOF\nls	1:cat | 2:ls
bash	git commit -F- <<'EOF'\nThe report says so.\nEOF	1:git | 1:git commit | 1:+git commit
bash	cat <<EOF\neof\nhg commit -m x\nEOF	1:cat
bash	cat <<EOF | grep x\nbody\nEOF	1:cat | 2:grep | 2:grep x | 2:+grep x
bash	echo "<<EOF" x	1:echo | 1:echo ? | 1:+echo ? | 1:+echo x
# An expanding heredoc with a substitution in it is READ (R21-15).
bash	cat <<EOF\n$(hg commit -m x)\nEOF	1:READ
bash	cat <<EOF\n'$(hg commit -m x)'\nEOF	1:READ
bash	cat <<EOF\nuse `foo`\nEOF	1:READ
# Unbalanced input is READ.
bash	echo "abc	1:READ
bash	echo 'abc	1:READ
bash	cat <<EOF\nbody	1:READ
bash	echo "$(date"	1:READ
bash	echo "a ` b"	1:READ
# A sentence in the command adds 0:PROSE: six words or more, the first
# capitalized and the last ending in ".", "!", or "?".
bash	curl -d '{"body":"The report says so and more."}' https://x	0:PROSE | 1:curl | 1:curl ?
bash	python3 -c 'print("Done, all six words are here!")'	0:PROSE | 1:python3 | 1:python3 ?
bash	python3 -c 'print("Only five words here.")'	1:python3 | 1:python3 ?
bash	python3 -c 'print("the lower case start of this one.")'	1:python3 | 1:python3 ?
bash	echo "The report says so and more.\"	0:PROSE | 1:READ
pwsh	Invoke-RestMethod -Body 'We moved the build to Gradle nine.'	0:PROSE | 1:Invoke-RestMethod | 1:Invoke-RestMethod ?
# PowerShell.
pwsh	Get-ChildItem -Recurse | Select-Object Name	1:Get-ChildItem | 2:Select-Object | 2:Select-Object Name | 2:+Select-Object Name
pwsh	& "C:\Tools\X.exe" run	1:C:\Tools\X.exe | 1:C:\Tools\X.exe run | 1:+C:\Tools\X.exe run
pwsh	. ./script.ps1 -Force	1:./script.ps1
pwsh	Write-Output a`\nb	1:Write-Output | 1:Write-Output a | 1:Write-Output a b | 1:+Write-Output a | 1:+Write-Output b | 1:+Write-Output a b
pwsh	Write-Output 'it''s'	1:Write-Output
pwsh	Write-Output "say ""hi"" now"	1:Write-Output | 1:Write-Output ? | 1:+Write-Output ?
pwsh	$x = Get-Content f	1:Get-Content | 1:Get-Content f | 1:+Get-Content f
pwsh	$x = "a b"; ls	1:ls
pwsh	$body = @"\nThe report says so.\n"@\ngh pr create --body $body	1:gh | 1:gh pr | 1:gh pr create | 1:+gh pr | 1:+gh create | 1:+gh pr create
pwsh	$b = @'\n$(hg commit -m x)\n'@\nls	1:ls
pwsh	$b = @"\n$(hg commit -m x)\n"@	1:READ
pwsh	Write-Output "$(gh issue comment 1 --body x)"	1:Write-Output | 1:Write-Output ? | 1:+Write-Output ? | 2:gh | 2:gh issue | 2:gh issue comment | 2:+gh issue | 2:+gh comment | 2:+gh x | 2:+gh issue comment | 2:+gh issue x | 2:+gh issue comment x
pwsh	$b = @"\nno end	1:READ
pwsh	echo `date`	1:echo | 1:echo date | 1:+echo date
# Body files. With the mode suffix "files", the extractor runs with files=1 and
# prints the operand of each body-file flag in a git commit or a gh pr, issue, or
# release command instead of keys, one line each: 1 when the command may change
# directory first (cd and the like anywhere in it, or git -C), else 0, then the
# operand. An operand of "-" is the command's own stdin and is left out.
bashfiles	git commit -F msg.txt	0:msg.txt
bashfiles	git commit --file=msg.txt	0:msg.txt
bashfiles	git commit --file msg.txt -a	0:msg.txt
bashfiles	git commit -Fmsg.txt	0:msg.txt
bashfiles	git commit -aF msg.txt	0:msg.txt
bashfiles	git commit -m "Fix it" -F msg.txt	0:msg.txt
bashfiles	git commit -m x src/a.kt -F msg.txt	0:msg.txt
bashfiles	git commit -m x	-
bashfiles	git log -F x	-
# A flag's value is never a flag, even one that reads as -F, and nothing after -- is.
bashfiles	git commit -m '-F' private.txt	-
bashfiles	git commit -am "--file" private.txt	-
bashfiles	git commit --author -F x.txt	-
bashfiles	git commit -- -F x.txt	-
bashfiles	git commit -F - <<'EOF'\nThe body.\nEOF	-
bashfiles	git commit -F	-
# The working directory.
bashfiles	git -C sub commit -F msg.txt	1:msg.txt
bashfiles	git -c user.name=x commit -F msg.txt	0:msg.txt
bashfiles	cd sub && git commit -F msg.txt	1:msg.txt
bashfiles	git commit -F msg.txt; pushd ..	1:msg.txt
# An operand that is not a literal path is still printed, and the gate reports it.
bashfiles	git commit -F "my msg.txt"	0:""
bashfiles	git commit -F my\ msg.txt	0:my*msg.txt
bashfiles	git commit -F "$T/m.txt"	0:$T/m.txt
# gh, per subcommand: -m is --merge in pr merge and --milestone elsewhere, and -p
# is --prerelease in a release.
bashfiles	git commit -F m.txt && gh pr create --title x --body-file pr.md	0:m.txt | 0:pr.md
bashfiles	gh pr merge 5 -m -F m.txt	0:m.txt
bashfiles	gh pr create -m -F m.txt	-
bashfiles	gh release create v1 -p -F notes.md	0:notes.md
bashfiles	gh release edit v1 --notes-file=notes.md	0:notes.md
bashfiles	gh issue comment 5 --body-file c.md	0:c.md
bashfiles	gh api repos/x -F body=@x.md	-
bashfiles	echo "$(gh issue create -F b.md)"	0:b.md
bashfiles	git commit -F m.txt && git commit --amend -F m.txt	0:m.txt
# git and gh read the last body flag. git keeps the "=" of -F=x and takes a
# prefix of --file; gh drops it. git's -S takes only an attached value.
bashfiles	git commit -F a.txt -F b.txt	0:b.txt
bashfiles	git commit -F a.txt --file=- <<'EOF'\nThe body.\nEOF	-
bashfiles	git commit -F=msg.txt	0:=msg.txt
bashfiles	gh pr create -F=pr.md	0:pr.md
bashfiles	git commit --fil msg.txt	0:msg.txt
bashfiles	git commit --fil=msg.txt	0:msg.txt
bashfiles	git commit -SF msg.txt	-
bashfiles	git commit -uF msg.txt	-
# A letter takes a value in one gh verb and none in another.
bashfiles	gh pr review 5 -a -F r.md	0:r.md
bashfiles	gh pr review 5 -r -F r.md	0:r.md
bashfiles	gh pr merge 5 -a -F m.md	0:m.md
bashfiles	gh pr create -a me -F p.md	0:p.md
# git --work-tree and GIT_WORK_TREE move the directory a relative path resolves in.
bashfiles	git --work-tree=wt commit -F msg.txt	1:msg.txt
bashfiles	git --work-tree wt commit -F msg.txt	1:msg.txt
bashfiles	GIT_WORK_TREE=wt git commit -F msg.txt	1:msg.txt
bashfiles	git --git-dir=wt/.git commit -F msg.txt	0:msg.txt
# A command that cannot be split has its body files reported as not read, when
# it has a body-file flag at all.
bashfiles	git commit -F m.txt -m "open	1:""
bashfiles	git commit -m "open	-
pwshfiles	git commit -F msg.txt	0:msg.txt
pwshfiles	Set-Location sub; git commit -F msg.txt	1:msg.txt
# A sentence in the command adds no line in files mode: the body files are all it prints.
bashfiles	cat >> notes.md <<'EOF'\nThe README now lists the steps for the migration here.\nEOF	-
bashfiles	gh pr create --title "The README now lists the steps for the migration." -F body.md	0:body.md
pwshfiles	Set-Content notes.md 'The README now lists the steps for the migration here.'	-
pwshfiles	git commit -F "$env:TEMP\m.txt"	0:$env:TEMP\m.txt
pwshfiles	git commit -F C:\work\m.txt	0:C:\work\m.txt
